date,open,high,low,close,adj_close,volume
2013-11-26,46.518002,47.304001,46.223999,47.119202,46.139111,14385000
2013-11-27,47.296001,47.738800,47.160400,47.487598,46.499840,10945000
2013-11-29,47.768002,47.950001,47.605999,47.693199,46.701168,8187500
2013-12-02,47.844002,47.863602,47.170799,47.540001,46.551155,10887500
2013-12-03,47.246399,47.316002,46.844799,47.059200,46.080353,12080000
2013-12-04,46.863602,47.399601,46.661598,47.266800,46.283638,11567500
2013-12-05,47.227600,47.237598,46.797600,46.975601,45.998493,9592500
2013-12-06,47.560001,47.560001,46.910400,47.216000,46.233891,10425000
2013-12-09,47.322399,47.480000,46.987999,47.147202,46.166534,12060000
2013-12-10,47.119999,47.690399,47.024799,47.556801,46.567604,10967500
2013-12-11,47.703602,47.939999,47.004002,47.124401,46.144203,14547500
2013-12-12,46.982399,47.338799,46.840801,47.009602,46.031792,10122500
2013-12-13,47.281200,47.282001,46.767200,46.850800,45.876289,12132500
2013-12-16,46.824001,47.146400,46.720001,46.970001,45.993008,10767500
2013-12-17,46.963600,47.000000,46.248402,46.436001,45.470116,14830000
2013-12-18,46.457199,47.544800,45.799999,47.519600,46.531178,21960000
2013-12-19,47.515999,47.759998,47.348801,47.662800,46.671406,15067500
2013-12-20,47.790001,47.867599,47.556000,47.638000,46.647118,19395000
2013-12-23,47.778801,47.778801,47.201599,47.490002,46.502197,12812500
2013-12-24,47.423199,47.535999,47.192001,47.195999,46.214314,6365000
2013-12-26,47.327999,47.594002,47.123199,47.594002,46.604034,7702500
2013-12-27,47.668400,47.669601,46.746399,46.812401,45.838688,12905000
2013-12-30,46.894001,46.894001,46.040001,46.115601,45.156384,16142500
2013-12-31,46.237202,46.495998,46.160400,46.495998,45.528870,11100000
2014-01-02,46.398800,46.451599,45.599998,45.817600,44.864586,16332500
2014-01-03,45.880001,46.107601,45.257599,45.307201,44.364803,15572500
2014-01-06,45.291199,45.777599,44.520401,45.581200,44.633102,16415000
2014-01-07,45.872799,46.635601,45.680000,46.522800,45.555111,16735000
2014-01-08,46.559601,46.723999,46.260399,46.299999,45.336945,12717500
2014-01-09,46.318001,46.513199,45.770000,46.147598,45.187717,11870000
2014-01-10,46.256401,46.256401,45.697601,45.953602,44.997757,12242500
2014-01-13,45.702801,46.539200,45.345600,45.588799,44.640545,15320000
2014-01-14,45.552799,46.436001,45.321201,46.368401,45.403927,15600000
2014-01-15,46.403999,46.973598,46.403999,46.914398,45.938564,14410000
2014-01-16,46.820801,47.599602,46.820801,47.386002,46.400360,19660000
2014-01-17,47.408401,47.474400,46.697201,47.121601,46.141460,15252500
2014-01-21,47.259998,48.279202,47.060001,48.237999,47.234638,18867500
2014-01-22,48.319599,48.567600,48.178799,48.531601,47.522125,15805000
2014-01-23,48.279999,48.598801,47.846001,48.354401,47.348618,13292500
