date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2020-04-22,180,2019-08-06,2020-04-22,263.85,264.8229,266.1788,99.6326,99.1251,194.72,305.61,-13.6645,35.5023,1258600
2020-04-23,180,2019-08-07,2020-04-23,258.06,264.7556,266.112,97.471,96.9742,194.72,305.61,-15.559,32.5288,1309200
2020-04-24,180,2019-08-08,2020-04-24,263.66,264.7286,266.0847,99.5963,99.0887,194.72,305.61,-13.7266,35.4047,1069900
2020-04-27,180,2019-08-09,2020-04-27,271.83,264.7034,266.0577,102.6923,102.1696,194.72,305.61,-11.0533,39.6004,941200
2020-04-28,180,2019-08-12,2020-04-28,266.31,264.6492,266.0007,100.6275,100.1163,194.72,305.61,-12.8595,36.7656,1000000
2020-04-29,180,2019-08-13,2020-04-29,273.43,264.6533,266.005,103.3163,102.7913,194.72,305.61,-10.5298,40.4221,1132400
2020-04-30,180,2019-08-14,2020-04-30,269.81,264.6051,265.9531,101.9671,101.4502,194.72,305.61,-11.7143,38.5631,1410900
2020-05-01,180,2019-08-15,2020-05-01,261.13,264.5675,265.9156,98.7007,98.2003,194.72,305.61,-14.5545,34.1054,1193600
2020-05-04,180,2019-08-16,2020-05-04,267.78,264.5639,265.9119,101.2156,100.7025,194.72,305.61,-12.3785,37.5205,1366500
2020-05-05,180,2019-08-19,2020-05-05,274.48,264.5823,265.9314,103.7409,103.2146,194.72,305.61,-10.1862,40.9614,1052700
2020-05-06,180,2019-08-20,2020-05-06,275.87,264.5907,265.9406,104.2629,103.7337,194.72,305.61,-9.7314,41.6752,754500
2020-05-07,180,2019-08-21,2020-05-07,280.8,264.6311,265.9848,106.11,105.5699,194.72,305.61,-8.1182,44.2071,954200
2020-05-08,180,2019-08-22,2020-05-08,280.36,264.6518,266.0077,105.9354,105.3955,194.72,305.61,-8.2622,43.9811,1209500
2020-05-11,180,2019-08-23,2020-05-11,287.84,264.7113,266.0751,108.7373,108.18,194.72,305.61,-5.8146,47.8225,882200
2020-05-12,180,2019-08-26,2020-05-12,281.68,264.7259,266.0914,106.4044,105.8584,194.72,305.61,-7.8302,44.659,933500
2020-05-13,180,2019-08-27,2020-05-13,277.16,264.698,266.0602,104.708,104.1719,194.72,305.61,-9.3092,42.3377,957100
2020-05-14,180,2019-08-28,2020-05-14,280.27,264.6836,266.0439,105.8887,105.3473,194.72,305.61,-8.2916,43.9349,912900
