date,window_trading_days,window_start,window_end,close,fixed_amount_dca_cost,moving_avg_180,price_to_dca_pct,price_to_ma_pct,min_close_in_window,max_close_in_window,drawdown_from_window_high_pct,above_window_low_pct,volume
2014-10-08,180,2014-01-23,2014-10-08,45.0768,48.7969,48.9141,92.3765,92.1549,44.32,54.8172,-17.7689,1.7076,26152500
2014-10-09,180,2014-01-24,2014-10-09,44.0876,48.7704,48.8904,90.3983,90.1763,44.0876,54.8172,-19.5734,0.0,26712500
2014-10-10,180,2014-01-27,2014-10-10,42.5464,48.7398,48.8646,87.2929,87.07,42.5464,54.8172,-22.3849,0.0,38227500
2014-10-13,180,2014-01-28,2014-10-13,41.628,48.7114,48.8418,85.4585,85.2302,41.628,54.8172,-24.0603,0.0,46687500
2014-10-14,180,2014-01-29,2014-10-14,42.018,48.6812,48.8169,86.3127,86.0726,41.628,54.8172,-23.3489,0.9369,30215000
2014-10-15,180,2014-01-30,2014-10-15,42.35,48.6606,48.8002,87.0314,86.7824,41.628,54.8172,-22.7432,1.7344,40267500
2014-10-16,180,2014-01-31,2014-10-16,42.9276,48.6377,48.7809,88.26,88.0008,41.628,54.8172,-21.6895,3.1219,26485000
2014-10-17,180,2014-02-03,2014-10-17,43.0908,48.6197,48.7659,88.6283,88.3625,41.628,54.8172,-21.3918,3.514,22537500
2014-10-20,180,2014-02-04,2014-10-20,44.1228,48.6169,48.7636,90.7561,90.4831,41.628,54.8172,-19.5092,5.9931,14742500
2014-10-21,180,2014-02-05,2014-10-21,45.3188,48.6186,48.7651,93.2128,92.9328,41.628,54.8172,-17.3274,8.8662,18445000
2014-10-22,180,2014-02-06,2014-10-22,44.578,48.6161,48.763,91.6938,91.4177,41.628,54.8172,-18.6788,7.0866,14887500
2014-10-23,180,2014-02-07,2014-10-23,45.2392,48.6143,48.7614,93.0575,92.7767,41.628,54.8172,-17.4726,8.6749,17725000
2014-10-24,180,2014-02-10,2014-10-24,45.5372,48.6005,48.7487,93.6969,93.4121,41.628,54.8172,-16.929,9.3908,13467500
2014-10-27,180,2014-02-11,2014-10-27,45.3704,48.5829,48.7324,93.3876,93.1012,41.628,54.8172,-17.2333,8.9901,9432500
2014-10-28,180,2014-02-12,2014-10-28,46.2648,48.5695,48.7196,95.2548,94.9613,41.628,54.8172,-15.6017,11.1387,12525000
2014-10-29,180,2014-02-13,2014-10-29,45.7688,48.546,48.6969,94.2792,93.9872,41.628,54.8172,-16.5065,9.9472,13595000
2014-10-30,180,2014-02-14,2014-10-30,45.8636,48.5171,48.6681,94.5309,94.2375,41.628,54.8172,-16.3336,10.1749,13572500
2014-10-31,180,2014-02-18,2014-10-31,48.2484,48.5015,48.6517,99.4783,99.1711,41.628,54.8172,-11.9831,15.9037,36802500
2014-11-03,180,2014-02-19,2014-11-03,47.9408,48.4799,48.6288,98.8881,98.5852,41.628,54.8172,-12.5442,15.1648,27545000
2014-11-04,180,2014-02-20,2014-11-04,43.908,48.4388,48.5897,90.6463,90.3649,41.628,54.8172,-19.9011,5.4771,83930000
2014-11-05,180,2014-02-21,2014-11-05,43.8136,48.3953,48.548,90.5327,90.2481,41.628,54.8172,-20.0733,5.2503,29125000
2014-11-06,180,2014-02-24,2014-11-06,43.91,48.3463,48.4995,90.8239,90.537,41.628,54.8172,-19.8974,5.4819,18530000
2014-11-07,180,2014-02-25,2014-11-07,43.7844,48.2969,48.4509,90.6568,90.3687,41.628,54.8172,-20.1265,5.1802,15282500
2014-11-10,180,2014-02-26,2014-11-10,44.8008,48.247,48.399,92.8571,92.5656,41.628,54.8172,-18.2724,7.6218,22070000
2014-11-11,180,2014-02-27,2014-11-11,46.6944,48.2084,48.3568,96.8595,96.5621,41.628,54.8172,-14.818,12.1707,34742500
2014-11-12,180,2014-02-28,2014-11-12,46.44,48.1681,48.3131,96.4123,96.123,41.628,54.8172,-15.2821,11.5595,20505000
2014-11-13,180,2014-03-03,2014-11-13,46.7204,48.1312,48.2729,97.0689,96.7839,41.628,54.8172,-14.7705,12.2331,17727500
2014-11-14,180,2014-03-04,2014-11-14,46.9184,48.0973,48.2362,97.5489,97.268,41.628,54.8172,-14.4093,12.7088,15032500
2014-11-17,180,2014-03-05,2014-11-17,46.6564,48.0567,48.1913,97.0862,96.8149,41.628,54.8172,-14.8873,12.0794,17797500
2014-11-18,180,2014-03-06,2014-11-18,46.6732,48.0159,48.1461,97.2037,96.9408,41.628,54.576,-14.4804,12.1197,13795000
2014-11-19,180,2014-03-07,2014-11-19,46.266,47.9738,48.0999,96.4402,96.1873,41.628,54.3216,-14.8295,11.1415,13562500
2014-11-20,180,2014-03-10,2014-11-20,46.1552,47.9322,48.0545,96.2928,96.0475,41.628,53.7376,-14.11,10.8754,11237500
2014-11-21,180,2014-03-11,2014-11-21,46.0584,47.8926,48.0119,96.1702,95.9312,41.628,53.3032,-13.5917,10.6428,19695000
2014-11-24,180,2014-03-12,2014-11-24,46.4056,47.8582,47.975,96.9647,96.7288,41.628,53.3032,-12.9403,11.4769,10335000
2014-11-25,180,2014-03-13,2014-11-25,47.1668,47.8272,47.9409,98.6192,98.3854,41.628,52.3712,-9.9375,13.3055,16380000
2014-11-26,180,2014-03-14,2014-11-26,46.6732,47.7994,47.9113,97.644,97.4158,41.628,52.3712,-10.88,12.1197,15670000
2014-11-28,180,2014-03-17,2014-11-28,46.4076,47.7761,47.8874,97.1355,96.9098,41.628,52.3712,-11.3872,11.4817,7192500
2014-12-01,180,2014-03-18,2014-12-01,46.128,47.7474,47.8574,96.6084,96.3862,41.628,52.3712,-11.9211,10.81,18510000
2014-12-02,180,2014-03-19,2014-12-02,45.5744,47.7122,47.8208,95.5193,95.3025,41.628,52.3712,-12.9781,9.4802,22140000
2014-12-03,180,2014-03-20,2014-12-03,45.2068,47.6781,47.7859,94.8166,94.6029,41.628,52.3712,-13.68,8.5971,16352500
2014-12-04,180,2014-03-21,2014-12-04,45.6044,47.6455,47.752,95.716,95.5025,41.628,52.3712,-12.9208,9.5522,18382500
2014-12-05,180,2014-03-24,2014-12-05,45.4388,47.6165,47.7225,95.4266,95.2146,41.628,52.3712,-13.237,9.1544,19240000
2014-12-08,180,2014-03-25,2014-12-08,45.4272,47.5957,47.702,95.444,95.2312,41.628,52.3712,-13.2592,9.1266,14805000
2014-12-09,180,2014-03-26,2014-12-09,45.4072,47.5756,47.6823,95.4422,95.2286,41.628,52.3712,-13.2974,9.0785,16950000
2014-12-10,180,2014-03-27,2014-12-10,44.6208,47.5583,47.666,93.8235,93.6113,41.628,52.3712,-14.799,7.1894,16782500
2014-12-11,180,2014-03-28,2014-12-11,44.5708,47.542,47.6509,93.7503,93.536,41.628,52.3712,-14.8944,7.0693,13662500
2014-12-12,180,2014-03-31,2014-12-12,44.1596,47.5211,47.6314,92.9264,92.7111,41.628,52.3712,-15.6796,6.0815,16800000
2014-12-15,180,2014-04-01,2014-12-15,43.1456,47.4934,47.6062,90.8454,90.6302,41.628,52.3712,-17.6158,3.6456,22215000
2014-12-16,180,2014-04-02,2014-12-16,41.8336,47.4443,47.5605,88.1741,87.9586,41.628,52.3712,-20.121,0.4939,27752500
2014-12-17,180,2014-04-03,2014-12-17,43.0136,47.4004,47.518,90.7452,90.5206,41.628,52.3712,-17.8678,3.3285,22252500
2014-12-18,180,2014-04-04,2014-12-18,44.1832,47.3701,47.4885,93.2723,93.0398,41.628,52.3712,-15.6345,6.1382,30757500
2014-12-19,180,2014-04-07,2014-12-19,44.378,47.3538,47.4732,93.7159,93.48,41.628,52.3712,-15.2626,6.6061,25210000
2014-12-22,180,2014-04-08,2014-12-22,45.9752,47.349,47.4687,97.0985,96.8537,41.628,52.3712,-12.2128,10.443,22755000
2014-12-23,180,2014-04-09,2014-12-23,45.9044,47.3399,47.4599,96.9676,96.7226,41.628,52.3712,-12.348,10.2729,14612500
2014-12-24,180,2014-04-10,2014-12-24,45.9912,47.3213,47.441,97.1892,96.944,41.628,52.3712,-12.1823,10.4814,4162500
2014-12-26,180,2014-04-11,2014-12-26,46.2488,47.3165,47.4363,97.7435,97.4966,41.628,52.3712,-11.6904,11.1002,7030000
2014-12-29,180,2014-04-14,2014-12-29,46.4016,47.3174,47.4372,98.0646,97.817,41.628,52.3712,-11.3986,11.4673,11815000
2014-12-30,180,2014-04-15,2014-12-30,45.946,47.3131,47.433,97.1105,96.865,41.628,52.3712,-12.2686,10.3728,8945000
2014-12-31,180,2014-04-16,2014-12-31,45.6084,47.3062,47.4265,96.411,96.1665,41.628,52.3712,-12.9132,9.5618,12062500
2015-01-02,180,2014-04-17,2015-01-02,45.6824,47.2904,47.4109,96.5996,96.3543,41.628,52.3712,-12.7719,9.7396,12732500
2015-01-05,180,2014-04-21,2015-01-05,43.9032,47.2645,47.3863,92.8883,92.6496,41.628,52.3712,-16.1692,5.4656,26282500
2015-01-06,180,2014-04-22,2015-01-06,43.1984,47.2313,47.3549,91.4613,91.2226,41.628,52.3712,-17.515,3.7725,27037500
2015-01-07,180,2014-04-23,2015-01-07,42.7828,47.1936,47.3193,90.6538,90.4131,41.628,52.3712,-18.3085,2.7741,23875000
